A0A024QZ18	uc004dmu.4 human
A0A024QZ33	uc010wbm.4 human
A0A024QZ42	uc031sij.1 human
A0A024QZP7	uc031pvg.2 human
A0A024QZX5	uc003mun.5 human
A0A024R085	uc003jjy.2 human
A0A024R0K5	uc060zci.1 human
A0A024R0Y4	uc002hnt.4 human
A0A024R161	uc004bfn.4 human
A0A024R214	uc002bit.4 human
A0A024R2X5	uc003dby.3 human
A0A024R341	uc003dlu.6 human
A0A024R3B9	uc058hfz.1 human
A0A024R3E4	uc031qdl.3 human
A0A024R3W6	uc002vay.4 human
A0A024R412	uc002vav.4 human
A0A024R4E5	uc002waz.4 human
A0A024R4K9	uc003ueb.2 human
A0A024R571	uc010rnq.2 human
A0A024R5I4	uc001owb.4 human
A0A024R644	uc001vkc.4 human
A0A024R645	uc010aez.2 human
A0A024R6I7	uc032btj.2 human
A0A024R6X1	uc002eqr.4 human
A0A024R7E8	uc002msd.2 human
A0A024R7P0	uc032hpi.2 human
A0A024R7W5	uc033bnh.2 human
A0A024R9Y0	uc010wxi.3 human
A0A024RA17	uc060mjb.1 human
A0A024RAC6	uc057dgm.1 human
A0A024RAL6	uc063ffz.1 human
A0A024RAP8	uc001qyd.3 human
A0A024RBT2	uc031zqd.2 human
A0A024RBT8	uc021rfn.2 human
A0A024RC18	uc033fah.1 human
A0A024RC75	uc002bso.2 human
A0A024RCG2	uc031ymh.2 human
A0A024RCL3	uc021yuo.3 human
A0A024RCL9	uc063tiy.1 human
A0A024RCN4	uc032wpl.2 human
A0A024RCQ8	uc011epg.3 human
A0A024RCR6	uc011gdc.2 human
A0A024RCV8	uc063ngl.1 human
A0A044PY82	uc060ull.1 human
A0A067XG54	uc065bjm.1 human
A0A067XG57	uc065bjo.1 human
A0A075B6E2	uc060zdf.1 human
A0A075B6E4	uc003bwf.4 human
A0A075B6E5	uc057pwx.1 human
A0A075B6E6	uc058qvj.1 human
A0A075B6E8	uc057hct.1 human
A0A075B6E9	uc001deq.4 human
A0A075B6F0	uc061amy.1 human
A0A075B6F3	uc021yzh.2 human
A0A075B6F4	uc064sql.1 human
A0A075B6F5	uc003abz.1 human
A0A075B6F6	uc061wbl.1 human
A0A075B6F8	uc003wqi.4 human
A0A075B6F9	uc061bfm.1 human
A0A075B6G3	uc004dda.2 human
A0A075B6G4	uc001gub.2 human
A0A075B6G5	uc057kkm.1 human
A0A075B6G6	uc003phz.4 human
A0A075B6G7	uc057gxi.1 human
A0A075B6G8	uc063ors.1 human
A0A075B6H0	uc010ggj.4 human
A0A075B6H1	uc004beu.2 human
